path,category,owner,main_classes,main_functions,used_by,tests,status,notes
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/fixed_replay_resource_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_aggregated_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_case_classification.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_failures.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_final_readiness.md,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_method_artifact_hashes.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_method_environment.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_method_run_config.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_raw_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_resource_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/joao_strategy_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/method_inventory.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/parksong_processing_time_estimates_summary.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/parksong_reservation_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/processing_time_coverage.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/resource_pressure_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/resource_utilization.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/statistical_comparison.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/README.md,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/batch_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/batch_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/batch_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/copy_manifest.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/fixed_vs_generative.md,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/generative_config.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/generative_integration_smoke.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/generative_method_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/generative_runs.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/generative_summary.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/kunkler_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/kunkler_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/kunkler_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/parksong_composite_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/parksong_composite_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/parksong_composite_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/round_robin_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/round_robin_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/round_robin_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/shortest_queue_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/shortest_queue_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_transition_aware_smoke/shortest_queue_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/pre_refactor_audit.md,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/reproducibility.md,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/reproducibility_manifest.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/requirements-reproducibility.txt,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/README.md,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/advanced_i_candidate_rules.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/advanced_i_requirements_audit.json,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/advanced_i_rule_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/advanced_i_sampling_missingness_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/advanced_i_selected_rules.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/final_refinement_summary.json,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/rf_calibration_evaluation.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/transition_continuation_consistency.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_final_refinement_20260717/transition_continuation_consistency.json,result artifact,João-owned,,,,,audited,
joao/results/branching_split_approach_comparison.csv,result artifact,João-owned,,,,,audited,
joao/results/canonical_consistency_audit_20260717.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/README.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/all_runs.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/branching_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/comparison_table.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/experiment_configuration.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/final_report_material.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/branching_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/branching_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/branching_split_summary.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_aggregated_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_appendix_table.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_artifact_hashes.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_case_classification.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_case_completion.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_config.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_environment.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_evaluation_report.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_failures.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_method_inventory.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_paired_comparisons.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_raw_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_report_table.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_resource_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_route_ids.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_run_config.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_strategy_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/final_workload_summary.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/fixed_route_workload_summary.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_aggregated_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_case_classification.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_failures.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_final_readiness.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_method_artifact_hashes.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_method_environment.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_method_run_config.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_raw_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_resource_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay/joao_strategy_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay_runs.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_replay_strategy_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/fixed_vs_generative.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/batch_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/batch_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/batch_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/generative_integration_smoke.json,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/kunkler_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/kunkler_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/kunkler_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/parksong_composite_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/parksong_composite_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/parksong_composite_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/round_robin_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/round_robin_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/round_robin_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/shortest_queue_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/shortest_queue_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative/smoke/shortest_queue_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/generative_runs.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/git_status_after.txt,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/limitations.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/method_inventory.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/method_specific_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/method_summary.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/protected_hash_diff.txt,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/protected_hashes_after.txt,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/protected_hashes_before.txt,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/reproducibility.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/resource_utilization.csv,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/results_interpretation.md,result artifact,João-owned,,,,,audited,
joao/results/final_all_methods_20260715/statistical_comparison.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/README.md,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/branching_split_summary.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/failures.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_aggregated_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_appendix_table.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_artifact_hashes.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_case_classification.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_case_completion.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_environment.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_evaluation_report.md,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_failures.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_method_inventory.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_paired_comparisons.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_raw_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_report_table.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_resource_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_route_ids.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_run_config.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_strategy_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/final_workload_summary.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/fixed_replay_aggregated_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/fixed_replay_case_completion.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/fixed_replay_config.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/fixed_replay_method_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/fixed_replay_raw_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/fixed_replay_report_table.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/fixed_replay_resource_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/fixed_route_workload_summary.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_aggregated_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_case_classification.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_failures.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_final_readiness.md,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_method_artifact_hashes.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_method_environment.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_method_run_config.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_raw_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_resource_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/joao_strategy_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/method_inventory.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/parksong_processing_time_estimates_summary.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/parksong_reservation_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/processing_time_coverage.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/resource_pressure_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/resource_utilization.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/fixed_replay/statistical_comparison.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/generative/batch_seed1_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/generative/batch_seed2_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/generative/batch_seed3_event_log.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/generative/fixed_vs_generative.md,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/generative/generative_config.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/generative/generative_integration_smoke.json,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/generative/generative_method_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/final_canonical_20260716/generative/generative_runs.csv,result artifact,João-owned,,,,,audited,
